n,repeat,seed,algo,time_ms
400,0,121437,DFS,0.38839998887851834
400,0,121437,BFS,0.4141000099480152
400,1,121438,DFS,0.37920003524050117
400,1,121438,BFS,0.4343999898992479
400,2,121439,DFS,0.8544999873265624
400,2,121439,BFS,0.6640000501647592
400,3,121440,DFS,0.44450000859797
400,3,121440,BFS,0.45270001282915473
400,4,121441,DFS,0.6348000024445355
400,4,121441,BFS,0.4495999892242253
700,0,121437,DFS,0.8885000133886933
700,0,121437,BFS,0.7545999833382666
700,1,121438,DFS,0.8090999908745289
700,1,121438,BFS,0.762099982239306
700,2,121439,DFS,1.0431999689899385
700,2,121439,BFS,0.8157000411301851
700,3,121440,DFS,0.8556999964639544
700,3,121440,BFS,0.9619999909773469
700,4,121441,DFS,0.8320999913848937
700,4,121441,BFS,1.2750000460073352
